productkey,product_name,brand_key,category,price_tier,base_price,is_hero_product,launch_date,subcategory,upc_code,product_status
SKU001,TechNova Wireless Earbuds Pro,1,Electronics,Premium,149.99,True,2023-03-15,Audio,223005401501,Active
SKU003,SmartHome WiFi Camera 360,2,Electronics,Mid,79.99,False,2023-06-01,Smart Home,911856239313,Active
SKU007,FitLife Yoga Mat Premium,3,Health & Beauty,Mid,49.99,False,2023-01-10,Fitness,367469214295,Active
SKU009,SmartHome Smart Thermostat,2,Electronics,Mid,129.99,True,2022-11-01,Smart Home,251282538206,Active
SKU012,TechNova Wireless Charging Pad,1,Electronics,Premium,59.99,True,2023-05-20,Audio,214832269481,Active
SKU015,HomeEssentials Coffee Maker Deluxe,4,Home & Kitchen,Budget,39.99,False,2022-08-15,Kitchen Appliances,914655221101,Active
SKU018,GadgetMaster USB-C Hub 7-in-1,6,Electronics,Mid,34.99,False,2023-09-01,Accessories,700832336208,Active
SKU022,PureGlow Vitamin C Serum,5,Health & Beauty,Premium,79.99,False,2023-02-28,Skincare,748913461122,Active
SKU002,HomeEssentials Kitchen Appliances SKU002,4,Home & Kitchen,Budget,10.6,False,2022-01-28,Kitchen Appliances,763595448017,Active
SKU004,PureGlow Skincare SKU004,5,Health & Beauty,Budget,24.32,False,2023-04-05,Skincare,342319992484,Active
SKU005,PureGlow Skincare SKU005,5,Health & Beauty,Mid,86.66,True,2023-03-09,Skincare,275259659197,Active
SKU006,FitLife Fitness SKU006,3,Health & Beauty,Mid,40.88,False,2022-04-05,Fitness,213114812281,Active
SKU008,HomeEssentials Kitchen Appliances SKU008,4,Home & Kitchen,Budget,17.18,False,2022-02-14,Kitchen Appliances,985899371430,Active
SKU010,GadgetMaster Accessories SKU010,6,Electronics,Mid,67.54,False,2023-07-20,Accessories,187525138707,Active
SKU011,FitLife Fitness SKU011,3,Health & Beauty,Premium,347.41,False,2022-03-13,Fitness,312933106111,Active
SKU013,TechNova Audio SKU013,1,Electronics,Premium,191.16,False,2022-10-12,Audio,517045625552,Active
SKU014,HomeEssentials Kitchen Appliances SKU014,4,Home & Kitchen,Premium,433.64,True,2023-11-18,Kitchen Appliances,329159142739,Active
SKU016,FitLife Fitness SKU016,3,Health & Beauty,Premium,474.66,False,2022-06-25,Fitness,798400899699,Active
SKU017,PureGlow Skincare SKU017,5,Health & Beauty,Premium,197.92,False,2023-07-25,Skincare,804054194082,Active
SKU019,SmartHome Pro Smart Home SKU019,2,Electronics,Premium,229.71,False,2022-02-02,Smart Home,349348354829,Active
SKU020,EcoLiving Sustainability SKU020,7,Home & Kitchen,Mid,58.08,True,2022-08-06,Sustainability,446680801999,Active
SKU021,GadgetMaster Accessories SKU021,6,Electronics,Mid,57.69,False,2022-09-29,Accessories,256589576361,Active
SKU023,SmartHome Pro Smart Home SKU023,2,Electronics,Budget,24.9,False,2023-03-15,Smart Home,743158526982,Active
SKU024,PureGlow Skincare SKU024,5,Health & Beauty,Mid,55.34,False,2023-05-21,Skincare,658939878788,Active
